id,qname,parent_qname,elr,elr_id,role_definition,elr_order,depth,order,parent_id
021249d0-6718-48f8-b0b9-35a65fea0d4a,countries:Burundi,countries:CountryListHeading,http://xbrl.frc.org.uk/cd/roles/Dimensions-Content,500,500 - Dimensions Content,500,5,1870,e84b2441-d4b0-4666-8ca8-8db548fbc0e4
0216264b-9386-42d6-ab9a-d92b9a06f986,curr:BhutanNgultrum,curr:FullCurrenciesListHeading,http://xbrl.frc.org.uk/cd/roles/Dimensions-Content,500,500 - Dimensions Content,500,5,3326,b58f2337-5d0a-4b1a-a2e8-12c51ec0b399
02320b5a-b057-422b-b894-a896b7e85a1a,bus:CompanySecretary1,bus:AllEntityOfficersEntityOfficersTotalDefault,http://xbrl.frc.org.uk/cd/roles/Dimensions-Content,500,500 - Dimensions Content,500,4,107,50deb9bb-4055-4b7c-8f10-eb4bacca78e7
02379c7c-e6ca-47f6-b53e-479099ab22a9,countries:Mongolia,countries:CountryListHeading,http://xbrl.frc.org.uk/cd/roles/Dimensions-Content,500,500 - Dimensions Content,500,6,599,e84b2441-d4b0-4666-8ca8-8db548fbc0e4
023a8036-8d29-46ff-8ced-a1fe67a57b71,countries:Slovakia,countries:CountryListHeading,http://xbrl.frc.org.uk/cd/roles/Dimensions-Content,500,500 - Dimensions Content,500,6,653,e84b2441-d4b0-4666-8ca8-8db548fbc0e4
0241726c-3abb-4b93-8f0c-e03de575bced,core:IncreaseDecreaseInProvisionsThroughChangeInDiscountRate,core:TotalIncreaseDecreaseInProvisions,http://xbrl.frc.org.uk/fr/core/roles/NotesAndDetailedDisclosuresFRS102,302,302 - Notes and Detailed Disclosures (FRS 102),302,5,1939,14fb77af-7b0a-4da1-9ec7-3b94a0e0001e
0266da2b-2940-452e-b8a4-68bca71e7a52,core:DecreaseInNegativeGoodwillRelatedToBusinessCombinationIncludedInDisposalGroupsClassifiedAsHeldForSale,core:TotalIncreaseDecreaseInNegativeGoodwill,http://xbrl.frc.org.uk/fr/core/roles/NotesAndDetailedDisclosuresFRS102,302,302 - Notes and Detailed Disclosures (FRS 102),302,5,365,e9077e85-0dba-48f7-9079-ebc63f8286de
02761c61-b92b-4be1-a7e1-08a512ba3313,curr:EritreanNakfa,curr:FullCurrenciesListHeading,http://xbrl.frc.org.uk/cd/roles/Dimensions-Content,500,500 - Dimensions Content,500,5,3357,b58f2337-5d0a-4b1a-a2e8-12c51ec0b399
028f4568-0507-4143-a46b-6b249a1ce7a8,core:ForOtherProfitOrLossAssetLiabilityItemsRelatedToDiscontinuedOperationsUseOrdinaryLineItemAppropriateDiscontinuedOperationsDimensionTagGuidance,core:DisposalsDiscontinuedOperationsHeading,http://xbrl.frc.org.uk/fr/core/roles/NotesAndDetailedDisclosuresFRS102,302,302 - Notes and Detailed Disclosures (FRS 102),302,2,205,31ed2306-d4af-44a1-afec-921ef93404e4
02bb2bea-65e9-436c-8fb0-7e6ed4e9fc83,direp:DirectorInterestInSharesOtherInstrumentsEntityOrItsUndertakingsQuotedCompanyDisclosuresHeading,direp:DirectorsRemunerationHeading,http://xbrl.frc.org.uk/fr/core/roles/NotesAndDetailedDisclosuresFRS102,302,302 - Notes and Detailed Disclosures (FRS 102),302,3,2238,f92d6f6f-ce0f-4702-be46-ba710f058e19
02bce90f-62d2-4415-ab11-6235bb7accc3,direp:GPGGenderFemale,direp:GPGGenderHeading,http://xbrl.frc.org.uk/cd/roles/Dimensions-Content,500,500 - Dimensions Content,500,4,251,ff35bd94-a99a-436c-83bb-2b1f7ea704ee
02c5643b-e532-4380-acab-5c563cfa7b52,core:PropertyPlantEquipmentDepreciationImpairmentHeading,core:PropertyPlantEquipmentTangibleFixedAssetsHeading,http://xbrl.frc.org.uk/fr/core/roles/NotesAndDetailedDisclosuresFRS102,302,302 - Notes and Detailed Disclosures (FRS 102),302,3,950,1c2f3819-1b80-4cb6-a629-3df0cfce14ec
02c9be4c-047e-42ff-916f-e96d5c5e3da4,dpl:Associates,dpl:TotalTransactionsDefault,http://xbrl.frc.org.uk/cd/roles/Dimensions-Content,500,500 - Dimensions Content,500,4,3654,a757d4a3-9a68-4a82-8695-2beb466ceafe
02c9da74-ec75-4ac9-842a-bf58fecee003,core:LoansAdvancesToBanksHeading,core:FinancialAssetsAdditionalBankingFinanceItemsHeading,http://xbrl.frc.org.uk/fr/core/roles/AdditionalIndustrySectorDataFRS102,402,402 - Additional Industry Sector Data (FRS 102),402,3,265,83582bb5-3efd-4296-91d4-6447b2df2705
