id,concept_qname,lang,type,role,text
94518cb2-dc5c-470c-9da7-31c58c2b5f16,aurep:AuditingAccountsAssociatesServiceToEntitySubsidiariesFees,en,Standard Label,http://www.xbrl.org/2003/role/label,"Auditing accounts of associates, service to entity and subsidiaries, fees"
75c1f906-ada3-4974-bd47-ae4d1fa5db1e,aurep:AuditorInformationHeading,cy,Standard Label,http://www.xbrl.org/2003/role/label,Gwybodaeth yr archwilydd [pennawd]
0b339d79-f141-4c06-97d9-34bd84238d9f,aurep:AuditorInformationHeading,en,Standard Label,http://www.xbrl.org/2003/role/label,Auditor information [heading]
48d8fa0a-63b0-4a99-bc6c-814952428426,aurep:AuditorsRevisedAccountsStatementsHeading,cy,Standard Label,http://www.xbrl.org/2003/role/label,Datganiadau diwygiedig yr archwilydd ar y cyfrifon [pennawd]
d3f41dca-169b-4eb1-a5d8-3936d5dfc7ae,aurep:AuditorsRevisedAccountsStatementsHeading,en,Standard Label,http://www.xbrl.org/2003/role/label,Auditor's revised accounts statements [heading]
56411f8e-fad7-499d-9e1d-07686e3ed615,aurep:Audit-relatedAssuranceServicesEntitySubsidiariesFees,cy,Standard Label,http://www.xbrl.org/2003/role/label,"Gwasanaethau sicrwydd cysylltiedig ag archwilio, endid ac is-gwmnïau, ffioedd"
aa003398-28f0-4744-9023-7e222f3efd60,aurep:Audit-relatedAssuranceServicesEntitySubsidiariesFees,en,Standard Label,http://www.xbrl.org/2003/role/label,"Audit-related assurance services, entity and subsidiaries, fees"
5d0d8311-e4fb-4b29-9b4e-96733ec7c6e1,aurep:Audit-relatedAssuranceServicesFees,cy,Standard Label,http://www.xbrl.org/2003/role/label,"Gwasanaethau sicrwydd cysylltiedig ag archwilio, ffioedd"
02c3cf42-c177-40a9-ae67-03cc93806865,aurep:Audit-relatedAssuranceServicesFees,en,Standard Label,http://www.xbrl.org/2003/role/label,"Audit-related assurance services, fees"
e497acf1-c9e1-4d5f-92c3-68172ddd9c33,aurep:Audit-relatedAssuranceServicesPensionSchemesFees,cy,Standard Label,http://www.xbrl.org/2003/role/label,"Gwasanaethau sicrwydd cysylltiedig ag archwilio, cynlluniau pensiwn, ffioedd"
9e88e7b4-be34-48a3-8304-575d7559be94,aurep:Audit-relatedAssuranceServicesPensionSchemesFees,en,Standard Label,http://www.xbrl.org/2003/role/label,"Audit-related assurance services, pension schemes, fees"
