qname,path_count,parent_count,total_occurrences
countries:TrinidadTobago,9,3,9
countries:Tunisia,9,3,9
countries:Turkey,9,3,9
countries:Turkmenistan,9,3,9
countries:TurksCaicosIslands,9,3,9
countries:Tuvalu,9,3,9
countries:Uganda,9,3,9
countries:Ukraine,9,3,9
countries:UnitedArabEmirates,9,3,9
countries:UnitedStates,9,3,9
countries:UnitedStatesMinorOutlyingIslands,9,3,9
countries:Uruguay,9,3,9
countries:Uzbekistan,9,3,9
countries:Vanuatu,9,3,9
countries:Venezuela,9,3,9
countries:VietNam,9,3,9
countries:VirginIslandsBritish,9,3,9
countries:VirginIslandsUS,9,3,9
countries:Wales,9,3,9
countries:WallisFutuna,9,3,9
countries:WesternSahara,9,3,9
countries:Yemen,9,3,9
countries:Zambia,9,3,9
countries:Zimbabwe,9,3,9
core:TradeDebtorsTradeReceivables,9,3,9
core:TreasuryBillsHeld,9,3,9
countries:Afghanistan,9,3,9
countries:Africa,9,3,9
countries:AlandIslands,9,3,9
countries:Albania,9,3,9
countries:Algeria,9,3,9
countries:AmericanSamoa,9,3,9
countries:Americas,9,3,9
countries:Andorra,9,3,9
countries:Angola,9,3,9
countries:Anguilla,9,3,9
countries:Antarctica,9,3,9
countries:AntiguaBarbuda,9,3,9
countries:Argentina,9,3,9
countries:Armenia,9,3,9
countries:Aruba,9,3,9
countries:Asia,9,3,9
countries:Australasia,9,3,9
countries:Australia,9,3,9
countries:Austria,9,3,9
countries:Azerbaijan,9,3,9
countries:Bahamas,9,3,9
countries:Bahrain,9,3,9
countries:Bangladesh,9,3,9
countries:Barbados,9,3,9
countries:Belarus,9,3,9
countries:Belgium,9,3,9
countries:Belize,9,3,9
countries:Benin,9,3,9
countries:Bermuda,9,3,9
countries:Bhutan,9,3,9
countries:Bolivia,9,3,9
countries:BonaireSintEustatiusSaba,9,3,9
countries:BosniaHerzegovina,9,3,9
countries:Botswana,9,3,9
countries:BouvetIsland,9,3,9
countries:Brazil,9,3,9
countries:LatinAmericaCaribbean,9,3,9
countries:Latvia,9,3,9
countries:Lebanon,9,3,9
core:DeferredTaxAssetDebtors,9,3,9
countries:Lesotho,9,3,9
countries:Liberia,9,3,9
countries:Libya,9,3,9
countries:Liechtenstein,9,3,9
countries:Lithuania,9,3,9
countries:Luxembourg,9,3,9
countries:Macao,9,3,9
core:LoansToAssociatesJointVenturesParticipatingInterests,9,3,9
core:LoansToGroupUndertakings,9,3,9
countries:MacedoniaFormerYugoslavRepublic,9,3,9
countries:Madagascar,9,3,9
countries:Malawi,9,3,9
core:AmountsOwedByAssociatesJointVenturesParticipatingInterests,9,3,9
core:AmountsOwedByGroupUndertakings,9,3,9
countries:Malaysia,9,3,9
countries:Maldives,9,3,9
countries:Mali,9,3,9
countries:Malta,9,3,9
countries:MarshallIslands,9,3,9
countries:Martinique,9,3,9
countries:Mauritania,9,3,9
countries:Mauritius,9,3,9
countries:Mayotte,9,3,9
core:OtherEligibleBillsHeld,9,3,9
countries:Mexico,9,3,9
countries:MicronesiaFederatedStates,9,3,9
countries:MiddleEast,9,3,9
core:OtherInvestmentsOtherThanLoans,9,3,9
core:BondsMedium-termNotesInIssue,9,3,9
core:OtherLoansClassifiedUnderInvestments,9,3,9
countries:MoldovaRepublic,9,3,9
countries:Monaco,9,3,9
countries:Mongolia,9,3,9
countries:Montenegro,9,3,9
countries:Montserrat,9,3,9
countries:Morocco,9,3,9
countries:Mozambique,9,3,9
countries:Myanmar,9,3,9
countries:Namibia,9,3,9
countries:Nauru,9,3,9
countries:Nepal,9,3,9
core:PensionStaffCostsDefinedBenefitPlan,9,3,9
countries:Netherlands,9,3,9
core:PrepaymentsAccruedIncome,9,3,9
countries:NewCaledonia,9,3,9
countries:NewZealand,9,3,9
countries:Nicaragua,9,3,9
countries:Niger,9,3,9
countries:Nigeria,9,3,9
countries:Niue,9,3,9
countries:NorfolkIsland,9,3,9
countries:NorthAmerica,9,3,9
countries:NorthernIreland,9,3,9
countries:NorthernMarianaIslands,9,3,9
countries:Norway,9,3,9
countries:Oman,9,3,9
