id,concept_qname,lang,type,role,text
3c7b0b8e-965c-4f74-84f1-d561666607c3,core:Equity,cy,Standard Label,http://www.xbrl.org/2003/role/label,Ecwiti
43ee5cab-1055-4535-97aa-2ec552e84299,core:Equity,en,Verbose Label,http://www.xbrl.org/2003/role/verboseLabel,Equity / share capital and reserves
7f0c1af1-0db5-448b-b37b-9f48558d4e92,core:Equity,cy,Verbose Label,http://www.xbrl.org/2003/role/verboseLabel,Ecwiti / cyfalaf cyfranddaliad a chronfeydd Wrth Gefn
8069444c-9c93-4c6c-aed1-39a39b3047db,core:Equity,cy,Documentation,http://www.xbrl.org/2003/role/documentation,"Defnyddiwch dimensiwn dosbarthiadau ecwiti i enwi dosbarthiadau uniogl o ecwiti a chronfeydd wrth gefn, yn cynnwys symiau y gellir eu priodoli i fuddiannau nad ydynt yn rheoli."
98b723b7-aee9-4f98-a29c-e4283f88380c,core:Equity,en,Documentation,http://www.xbrl.org/2003/role/documentation,"Use equity classes dimension to identify individual classes of equity and reserves, including amounts attributable to non-controlling interests."
a499e350-4ba6-47d8-99ff-6045642db18e,core:Equity,en,Standard Label,http://www.xbrl.org/2003/role/label,Equity
