qname,path_count,parent_count,total_occurrences
core:ForDerivativesSeeDerivativesHedgeAccountingSectionCross-reference,2,2,2
core:ForDetailsContingentAssetsLiabilitiesRelatedToBusinessCombinationsSeeBusinessCombinationsSectionCross-reference,2,2,2
core:ForFurtherBreakdownsAssetsLiabilitiesSeeNotesOnAssetsLiabilitiesOtherAppropriateSectionsCross-reference,2,2,2
core:ForImpairmentLossReversalAmountsSeeImpairmentLossesReversalsSectionUnderNotesOnIncomeExpenseCross-reference,2,2,2
core:ForTaxOnComponentsOtherComprehensiveIncomeSeeOtherComprehensiveIncomeSectionUnderIncomeTaxSectionCross-reference,2,2,2
core:FurtherItemGainLossInOtherComprehensiveIncomeBeforeTaxComponentTotalOtherComprehensiveIncomeBeforeTax,2,2,2
core:FurtherItemGainLossInOtherComprehensiveIncomeNetTaxComponentTotalOtherComprehensiveIncomeNetTax,2,2,2
core:FurtherItemGainLossOnCashFlowHedgesBeforeTaxInOtherComprehensiveIncomeComponentCorrespondingTotal,2,2,2
core:FurtherItemGainLossOnCashFlowHedgesNetTaxInOtherComprehensiveIncomeComponentCorrespondingTotal,2,2,2
core:FurtherSpecificTypeProvisionContingentLiability1ComponentTotalProvisionsContingentLiabilities,2,2,2
core:FurtherSpecificTypeProvisionContingentLiability2ComponentTotalProvisionsContingentLiabilities,2,2,2
core:FurtherSpecificTypeProvisionContingentLiability3ComponentTotalProvisionsContingentLiabilities,2,2,2
core:FurtherSpecificTypeProvisionContingentLiability4ComponentTotalProvisionsContingentLiabilities,2,2,2
core:GainLossAfterTaxOnSaleDiscontinuedOperations,2,2,2
core:GainLossDueToForeignExchangeDifferencesBeforeTaxInOtherComprehensiveIncome,2,2,2
core:GainLossDueToForeignExchangeDifferencesNetTaxInOtherComprehensiveIncome,2,2,2
core:GainLossFromChangesInProvisions,2,2,2
core:GainLossFromFairValueAdjustmentBiologicalAssetsFairValueModel,2,2,2
core:GainLossFromFairValueAdjustmentInvestmentPropertyRecognisedInProfitOrLoss,2,2,2
core:GainLossFromFairValueCashFlowHedgesNetTaxInOtherComprehensiveIncome,2,2,2
