sequence,elr,elr_id,role_definition,qname,parent_id,depth,order,path,node_id,label_en,label_cy,abstract,xbrl_type,full_type,substitution_group,has_children
4949,http://xbrl.frc.org.uk/cd/roles/Dimensions-Content,500,500 - Dimensions Content,core:OperatingLeasePurposeDimension,c6b4fb03-14e9-4abc-bf06-46b6710e5361,2,868,0000-0863-0868,7f88e9a8-d5b5-4188-b42f-3248ed7858ce,Operating lease purpose [Dimension],Pwrpas prydles weithredol [Dimensiwn],true,stringItemType,xbrli:stringItemType,xbrldt:dimensionItem,false
4950,http://xbrl.frc.org.uk/cd/roles/Dimensions-Content,500,500 - Dimensions Content,core:IncomeTax-specificDimensionsHeading,f0ad16d5-815e-4f62-9b05-0b699af67299,1,874,0000-0874,489226da-72dd-42b7-8f28-77d47785487e,Income tax-specific dimensions [heading],Treth incwm-dimensiynau penodol [pennawd],true,stringItemType,types:headingItemType,xbrli:item,true
4951,http://xbrl.frc.org.uk/cd/roles/Dimensions-Content,500,500 - Dimensions Content,core:TaxJurisdictionDimension,489226da-72dd-42b7-8f28-77d47785487e,2,875,0000-0874-0875,14f96c77-016b-4d6e-82cc-e040d6804334,Tax jurisdiction [Dimension],Awdurdodaeth treth [Dimensiwn],true,stringItemType,xbrli:stringItemType,xbrldt:dimensionItem,false
4952,http://xbrl.frc.org.uk/cd/roles/Dimensions-Content,500,500 - Dimensions Content,core:PropertyPlantEquipment-specificDimensionsHeading,f0ad16d5-815e-4f62-9b05-0b699af67299,1,879,0000-0879,7982dae6-d1c7-4027-ae8b-2cf347af2a47,"Property, plant and equipment-specific dimensions [heading]","Eiddo, peiriannau a chyfarpar - dimensiynau penodol [pennawd]",true,stringItemType,types:headingItemType,xbrli:item,true
